Nome,Dono,Idade (anos),Dias desde última atualização,Linguagem,Releases,Pull Requests,Issues Fechadas,Total Issues,Taxa de Fechamento de Issues,Stars
Java,TheAlgorithms,8,0,Java,0,1893,1081,1084,0.9972324723247232,61795
jadx,skylot,12,0,Java,31,562,1491,1857,0.802907915993538,44231
termux-app,termux,9,0,Java,95,162,2479,2858,0.8673897830650805,42063
spring-boot-demo,xkcoding,7,0,Java,0,15,73,170,0.4294117647058823,33704
easyexcel,alibaba,7,0,Java,14,190,3122,3603,0.8665001387732445,33421
WxJava,binarywang,9,0,Java,30,1031,2284,2335,0.9781584582441113,31229
spring-boot-examples,ityouknow,8,0,Java,0,7,99,108,0.9166666666666666,30475
canal,alibaba,12,0,Java,32,469,3568,4708,0.7578589634664401,29110
SpringAll,wuyouzhuguli,7,0,Java,0,1,27,48,0.5625,28814
JCSprout,crossoverJie,7,0,Java,0,69,59,89,0.6629213483146067,27089
fastjson,alibaba,13,0,Java,84,418,1695,3630,0.4669421487603306,25768
incubator-seata,apache,6,0,Java,43,2471,3307,4093,0.8079648179819203,25661
butterknife,JakeWharton,12,0,Java,0,346,1091,1193,0.914501257334451,25512
EventBus,greenrobot,12,0,Java,7,31,486,587,0.82793867120954,24748
Hystrix,Netflix,12,2,Java,79,677,682,1034,0.6595744680851063,24328
gson,google,10,1,Java,11,751,1409,1644,0.8570559610705596,23787
Chat2DB,CodePhiliaX,1,0,Java,43,422,723,1184,0.6106418918918919,23208
Sentinel,alibaba,7,0,Java,25,500,1621,2305,0.7032537960954447,22749
HikariCP,brettwooldridge,11,0,Java,0,255,1379,1867,0.738618103910016,20477
litemall,linlinjava,7,0,Java,8,110,332,365,0.9095890410958904,19713
SpringBoot-Labs,yudaocode,6,0,Java,0,3,16,45,0.35555555555555557,19653
SpringCloudLearning,forezp,8,0,Java,0,0,12,52,0.23076923076923078,17954
disruptor,LMAX-Exchange,12,0,Java,14,115,312,322,0.968944099378882,17834
Sa-Token,dromara,5,0,Java,37,64,567,657,0.863013698630137,17748
Ehviewer_CN_SXJ,xiaojieonly,4,0,Java,102,34,1540,1814,0.8489525909592062,17613
tinker,Tencent,8,0,Java,59,72,1084,1614,0.6716232961586122,17365
JustAuth,justauth,6,0,Java,46,64,79,138,0.572463768115942,16994
DataX,alibaba,7,0,Java,7,178,529,1643,0.3219720024345709,16550
springboot-learning-example,JeffLi1993,8,0,Java,0,6,63,78,0.8076923076923077,16514
Android-CleanArchitecture,android10,10,2,Java,0,14,124,252,0.49206349206349204,15554
jib,GoogleContainerTools,7,0,Java,167,2317,1547,1714,0.9025670945157527,13932
zuul,Netflix,12,0,Java,26,983,558,559,0.998211091234347,13798
piggymetrics,sqshq,10,0,Java,2,22,0,0,0,13546
cryptomator,cryptomator,11,0,Java,190,433,2052,2308,0.8890814558058926,12931
conductor,Netflix,8,1,Java,319,1208,1429,1577,0.906150919467343,12782
dex2jar,pxb1988,10,0,Java,8,24,215,590,0.3644067796610169,12760
stetho,facebook,10,2,Java,13,269,314,378,0.8306878306878307,12698
greenDAO,greenrobot,13,0,Java,8,37,796,991,0.8032290615539859,12619
eureka,Netflix,12,1,Java,151,759,564,665,0.8481203007518797,12550
COLA,alibaba,7,0,Java,11,100,271,337,0.8041543026706232,12465
Mybatis-PageHelper,pagehelper,11,0,Java,14,48,706,761,0.9277266754270697,12292
jedis,redis,14,1,Java,112,1466,1795,1878,0.95580404685836,12077
webmagic,code4craft,12,1,Java,33,137,609,944,0.6451271186440678,11566
PermissionsDispatcher,permissions-dispatcher,9,9,Java,40,260,455,484,0.9400826446280992,11228
jsoup,jhy,15,0,Java,18,362,1533,1543,0.9935191186001296,11180
interview,mission-peace,10,3,Java,0,72,26,87,0.2988505747126437,11169
androidannotations,androidannotations,13,0,Java,0,551,1609,1659,0.9698613622664256,11040
javapoet,square,12,2,Java,0,368,324,416,0.7788461538461539,10865
Java-WebSocket,TooTallNate,15,0,Java,19,309,1021,1061,0.9622997172478793,10671
pkl,apple,1,0,Java,14,431,173,312,0.5544871794871795,10671
Aegis,beemdevelopment,8,0,Java,71,430,1060,1124,0.9430604982206405,10424
resilience4j,resilience4j,10,0,Java,35,699,1020,1261,0.8088818398096749,10203
easypermissions,googlesamples,9,2,Java,12,90,205,241,0.8506224066390041,9899
paascloud-master,paascloud,7,0,Java,0,3,42,125,0.336,9892
Signal-Server,signalapp,11,0,Java,0,26,0,0,0,9795
feign,OpenFeign,11,1,Java,39,1502,846,1064,0.7951127819548872,9676
spark,perwendel,14,3,Java,0,270,551,755,0.7298013245033113,9662
android-gif-drawable,koral--,12,3,Java,61,117,647,684,0.945906432748538,9592
Mycat-Server,MyCATApache,10,3,Java,7,990,791,1725,0.45855072463768115,9552
PocketHub,pockethub,13,12,Java,1,379,536,667,0.8035982008995503,9381
testing-samples,android,10,0,Java,0,178,149,231,0.645021645021645,9252
JsonPath,json-path,14,0,Java,10,227,312,650,0.48,9137
karate,karatelabs,8,0,Java,54,395,2062,2132,0.9671669793621013,8562
junit4,junit-team,16,1,Java,13,472,836,836,1.0,8526
Android-Debug-Database,amitshekhariitbhu,8,0,Java,14,38,106,178,0.5955056179775281,8503
tsunami-security-scanner,google,5,0,Java,26,15,75,85,0.8823529411764706,8405
ysoserial,frohoff,10,0,Java,1,66,83,108,0.7685185185185185,8262
testcontainers-java,testcontainers,10,0,Java,83,4618,1918,2322,0.8260120585701981,8234
LitePal,guolindev,12,5,Java,0,1,728,824,0.883495145631068,8105
transmittable-thread-local,alibaba,11,0,Java,58,311,269,303,0.8877887788778878,7991
metrics,dropwizard,15,1,Java,129,3084,655,657,0.9969558599695586,7847
langchain4j,langchain4j,1,0,Java,47,1123,966,1391,0.6944644140905823,7816
RxLifecycle,trello-archive,9,2,Java,22,131,177,181,0.9779005524861878,7698
vjtools,vipshop,7,0,Java,9,32,108,142,0.7605633802816901,7661
Shadow,Tencent,5,1,Java,5,271,1000,1045,0.9569377990430622,7590
AndroidAsync,koush,12,2,Java,0,92,239,577,0.41421143847487,7544
PowerJob,PowerJob,5,1,Java,50,43,683,965,0.7077720207253886,7487
SpringCloud-Learning,dyc87112,8,1,Java,0,2,11,26,0.4230769230769231,7394
Mapper,abel533,10,2,Java,8,53,589,828,0.711352657004831,7367
mapstruct,mapstruct,13,0,Java,35,838,2011,2444,0.8228314238952537,7371
dagger,square,12,5,Java,0,245,208,267,0.7790262172284644,7301
agera,google,9,0,Java,16,94,46,50,0.92,7174
nanohttpd,NanoHttpd,12,3,Java,3,115,271,430,0.6302325581395349,7089
elasticsearch-sql,NLPchina,10,3,Java,270,96,669,994,0.6730382293762576,7021
rest-assured,rest-assured,14,0,Java,0,230,908,1460,0.6219178082191781,6980
netty-socketio,mrniko,13,0,Java,19,112,445,852,0.5223004694835681,6959
jvm-sandbox,alibaba,7,0,Java,13,79,331,367,0.9019073569482289,6891
gnirehtet,Genymobile,8,0,Java,12,3,247,541,0.4565619223659889,6811
springcloud-learning,macrozheng,5,0,Java,0,0,24,24,1.0,6752
springBoot,527515025,8,0,Java,0,0,7,42,0.16666666666666666,6665
itstack-demo-design,fuzhengwei,5,0,Java,0,6,13,32,0.40625,6637
quartz,quartz-scheduler,9,0,Java,5,262,682,735,0.927891156462585,6516
smali,JesusFreke,12,0,Java,0,54,629,766,0.8211488250652742,6475
async-http-client,AsyncHttpClient,14,0,Java,6,569,1237,1332,0.9286786786786787,6357
jsonschema2pojo,joelittlejohn,11,3,Java,63,253,1011,1193,0.8474434199497066,6294
spring-cloud-examples,ityouknow,8,0,Java,0,0,35,37,0.9459459459459459,6225
graphql-java,graphql-java,9,0,Java,87,1837,1278,1310,0.9755725190839695,6180
java-jwt,auth0,11,0,Java,45,304,301,310,0.9709677419354839,6052
mini-spring,DerekYRC,4,1,Java,0,17,13,42,0.30952380952380953,6051
useful-java-links,Vedenin,9,0,Java,0,104,18,19,0.9473684210526315,6011
vavr,vavr-io,11,0,Java,18,1644,1139,1220,0.9336065573770492,5902
btrace,btraceio,10,2,Java,33,213,433,435,0.9954022988505747,5894
motan,weibocom,9,1,Java,26,195,431,790,0.5455696202531646,5889
traccar,traccar,13,0,Java,58,677,4126,4499,0.9170926872638364,5902
blade,lets-blade,9,2,Java,9,164,249,261,0.9540229885057471,5866
kafdrop,obsidiandynamics,6,0,Java,49,294,343,343,1.0,5845
google-java-format,google,10,0,Java,34,272,501,634,0.7902208201892744,5820
tcc-transaction,changmingxie,9,3,Java,8,55,290,298,0.9731543624161074,5792
Fast-Android-Networking,amitshekhariitbhu,9,1,Java,10,23,344,562,0.6120996441281139,5796
hippo4j,opengoofy,3,0,Java,18,700,590,689,0.8563134978229318,5797
JSqlParser,JSQLParser,13,0,Java,37,393,1489,1579,0.9430018999366688,5703
springside4,springside,13,15,Java,3,33,426,467,0.9122055674518201,5693
lettuce,redis,11,0,Java,132,288,2225,2440,0.9118852459016393,5587
spring-boot-projects,ZHENFENG13,8,0,Java,0,9,9,11,0.8181818181818182,5581
disconf,knightliao,11,7,Java,12,13,191,372,0.5134408602150538,5553
mosby,sockeqwe,10,11,Java,15,69,239,263,0.908745247148289,5479
scribejava,scribejava,14,1,Java,9,139,588,631,0.9318541996830428,5459
dubbo-spring-boot-project,apache,7,6,Java,13,174,541,582,0.929553264604811,5406
socket.io-client-java,socketio,12,4,Java,7,30,604,717,0.8423988842398884,5387
jetcache,alibaba,8,0,Java,67,57,470,878,0.5353075170842825,5383
android-job,Evernote,9,2,Java,31,43,0,0,0,5369
spring-data-examples,spring-projects,11,7,Java,0,52,464,482,0.9626556016597511,5300
gradle-retrolambda,evant,11,19,Java,37,32,155,230,0.6739130434782609,5292
thumbnailator,coobird,9,0,Java,0,0,164,215,0.7627906976744186,5275
okdownload,lingochamp,7,1,Java,8,28,212,467,0.4539614561027837,5232
web3j,LFDT-web3j,8,2,Java,119,653,1068,1213,0.8804616652926628,5235
springboot-guide,CodingDocs,6,0,Java,0,10,16,29,0.5517241379310345,5228
dddsample-core,citerus,10,0,Java,0,87,24,50,0.48,5156
otto,square,12,3,Java,0,58,102,115,0.8869565217391304,5148
bitcoinj,bitcoinj,11,0,Java,14,503,915,1249,0.732586068855084,5105
TelegramBots,rubenlagus,9,1,Java,106,352,701,867,0.8085351787773933,5094
sensitive-word,houbb,5,0,Java,2,8,91,96,0.9479166666666666,5099
easy-rules,j-easy,12,1,Java,10,37,273,351,0.7777777777777778,5065
QLExpress,alibaba,8,0,Java,12,36,238,289,0.8235294117647058,5063
Small,wequick,9,6,Java,25,36,301,560,0.5375,5050
sofa-boot,sofastack,7,0,Java,81,800,423,431,0.9814385150812065,5036
spring-authorization-server,spring-projects,5,2,Java,73,173,1497,1553,0.9639407598197038,4998
spring-mvc-showcase,spring-attic,14,2,Java,0,8,38,43,0.8837209302325582,4984
mapdb,jankotek,12,4,Java,0,71,747,935,0.7989304812834225,4981
dynamic-datasource,baomidou,7,1,Java,18,85,581,583,0.9965694682675815,4951
spring-cloud-netflix,spring-cloud,10,0,Java,21,617,3203,3278,0.9771201952410006,4919
spotless,diffplug,10,0,Java,26,1065,903,1114,0.8105924596050269,4894
java-faker,DiUS,14,0,Java,0,272,154,253,0.6086956521739131,4864
cglib,cglib,11,0,Java,15,52,51,126,0.40476190476190477,4853
aviatorscript,killme2008,14,0,Java,52,78,496,559,0.8872987477638641,4846
spring-boot-best-practice,javastacks,6,0,Java,0,0,6,8,0.75,4810
small-spring,fuzhengwei,4,0,Java,0,14,0,0,0,4793
openai-java,TheoKanning,4,2,Java,22,100,239,338,0.7071005917159763,4788
reflections,ronmamo,12,9,Java,3,71,170,287,0.5923344947735192,4755
Spring-Boot-In-Action,hansonwang99,6,4,Java,0,1,10,17,0.5882352941176471,4707
spring-security-oauth,spring-attic,13,7,Java,0,37,933,1479,0.6308316430020284,4696
FirebaseUI-Android,firebase,9,1,Java,66,694,1156,1278,0.9045383411580594,4696
spring-cloud-gateway,spring-cloud,8,0,Java,30,464,2457,2842,0.8645320197044335,4680
MaterialDateTimePicker,wdullaer,10,11,Java,54,45,509,595,0.8554621848739495,4667
db-tutorial,dunwu,7,0,Java,0,4,4,6,0.6666666666666666,4652
fastexcel,fast-excel,0,0,Java,4,70,175,271,0.6457564575645757,4662
JSON-java,stleary,14,0,Java,24,224,494,518,0.9536679536679536,4633
allure2,allure-framework,9,0,Java,77,861,884,1021,0.8658178256611165,4641
ribbon,Netflix,12,19,Java,41,190,79,256,0.30859375,4608
crawler4j,yasserg,13,2,Java,3,90,142,289,0.4913494809688581,4594
javacpp,bytedeco,11,0,Java,12,141,440,534,0.8239700374531835,4591
GCViewer,chewiebug,13,0,Java,5,64,111,178,0.6235955056179775,4546
objectbox-java,objectbox,8,1,Java,47,7,1025,1178,0.870118845500849,4511
AndroidTutorialForBeginners,hussien89aa,8,2,Java,0,0,4,26,0.15384615384615385,4504
java-algorithms-implementation,phishman3579,11,1,Java,0,51,29,42,0.6904761904761905,4499
epic,tiann,8,4,Java,5,12,0,0,0,4487
dynamic-tp,dromara,3,1,Java,19,251,263,275,0.9563636363636364,4422
GT,Tencent,9,3,Java,3,3,22,89,0.24719101123595505,4410
moco,dreamhead,12,0,Java,1,30,127,265,0.47924528301886793,4409
jacoco,jacoco,12,1,Java,49,703,844,968,0.871900826446281,4348
IoT-Technical-Guide,IoT-Technology,6,1,Java,0,6,7,8,0.875,4341
android-volley,mcxiaoke,12,10,Java,0,8,78,139,0.5611510791366906,4285
java-learning,brianway,9,0,Java,0,4,6,8,0.75,4274
tx-lcn,codingapi,7,16,Java,14,72,279,474,0.5886075949367089,4199
spring-boot-starter,mybatis,9,0,Java,31,603,400,418,0.9569377990430622,4197
powermock,powermock,11,14,Java,16,130,542,984,0.5508130081300813,4186
hmily,dromara,7,1,Java,0,150,135,187,0.7219251336898396,4135
maxwell,zendesk,10,0,Java,213,802,927,1130,0.820353982300885,4136
tiny-spring,code4craft,11,0,Java,0,4,3,27,0.1111111111111111,4077
dubbo-admin,apache,7,1,Java,6,405,494,738,0.6693766937669376,4017
LiveEventBus,JeremyLiao,6,0,Java,0,3,51,172,0.29651162790697677,3950
awaitility,awaitility,15,2,Java,0,74,92,158,0.5822784810126582,3922
Leetcode,fishercoder1534,8,0,Java,0,105,19,21,0.9047619047619048,3917
Conductor,bluelinelabs,9,3,Java,36,91,459,555,0.827027027027027,3904
TinyPinyin,promeG,9,0,Java,2,1,30,68,0.4411764705882353,3893
screw,pingfangushi,4,1,Java,0,6,16,66,0.24242424242424243,3884
ripme,RipMeApp,8,0,Java,143,621,858,1342,0.639344262295082,3885
sofa-rpc,sofastack,7,1,Java,63,663,629,654,0.9617737003058104,3880
ShedLock,lukas-krecan,8,0,Java,0,1839,383,409,0.9364303178484108,3882
pdfsam,torakiki,11,1,Java,65,80,489,598,0.8177257525083612,3808
mpush,mpusher,9,0,Java,9,1,16,38,0.42105263157894735,3776
FlatLaf,JFormDesigner,5,0,Java,86,110,814,860,0.9465116279069767,3782
NullAway,uber,7,2,Java,28,711,325,443,0.7336343115124153,3764
bundletool,google,7,0,Java,63,8,270,337,0.8011869436201781,3731
spruce-android,willowtreeapps,8,9,Java,3,92,26,27,0.9629629629629629,3721
sofa-jraft,sofastack,6,0,Java,31,405,632,679,0.930780559646539,3702
JCTools,JCTools,11,2,Java,18,119,197,241,0.8174273858921162,3672
groupie,lisawray,8,1,Java,28,116,233,298,0.7818791946308725,3674
rejoiner,google,7,16,Java,3,49,24,64,0.375,3670
fernflower,fesh0r,10,0,Java,0,0,0,0,0,3681
light-4j,networknt,8,0,Java,191,1090,1345,1370,0.9817518248175182,3652
undertow,undertow-io,12,2,Java,9,1186,0,0,0,3648
grpc-spring,grpc-ecosystem,8,1,Java,34,476,481,617,0.779578606158833,3629
JavaSourceCodeLearning,coderbruis,5,0,Java,0,6,11,16,0.6875,3622
Alink,alibaba,6,3,Java,22,3,162,214,0.7570093457943925,3606
data-transfer-project,dtinit,7,3,Java,61,978,211,279,0.7562724014336918,3580
FlexibleAdapter,davideas,10,7,Java,30,27,674,733,0.9195088676671214,3572
android-maps-utils,googlemaps,12,2,Java,50,590,588,622,0.9453376205787781,3572
ftgo-application,microservices-patterns,7,0,Java,0,22,42,118,0.3559322033898305,3568
netty-learning,code4craft,11,3,Java,0,2,3,6,0.5,3557
initializr,spring-io,12,0,Java,16,24,1056,1099,0.9608735213830755,3549
brigadier,Mojang,10,0,Java,3,31,27,65,0.4153846153846154,3550
parceler,johncarl81,11,19,Java,0,73,287,319,0.8996865203761756,3543
retrolambda,luontola,11,12,Java,0,22,107,124,0.8629032258064516,3536
Store,nytimes,8,17,Java,0,190,132,161,0.8198757763975155,3515
RxAndroidBle,dariuszseweryn,9,0,Java,60,225,543,598,0.9080267558528428,3505
immutables,immutables,11,1,Java,11,311,756,1197,0.631578947368421,3496
JavaEETest,lenve,8,6,Java,0,0,9,16,0.5625,3490
Chronicle-Queue,OpenHFT,12,0,Java,526,739,752,772,0.9740932642487047,3490
maestro,Netflix,1,2,Java,0,37,51,67,0.7611940298507462,3481
MyPerf4J,LinShunKang,7,0,Java,23,10,90,96,0.9375,3509
chatgpt-java,Grt1228,2,0,Java,10,45,169,234,0.7222222222222222,3447
SSM,crossoverJie,8,2,Java,10,9,28,33,0.8484848484848485,3444
migration,phodal,5,11,Java,0,7,3,3,1.0,3445
springdoc-openapi,springdoc,5,0,Java,90,266,2452,2480,0.9887096774193549,3444
concurrency-limits,Netflix,7,2,Java,102,132,19,57,0.3333333333333333,3426
ArchUnit,TNG,8,0,Java,43,545,462,590,0.7830508474576271,3426
volley,google,8,5,Java,9,110,270,297,0.9090909090909091,3398
android-priority-jobqueue,yigit,10,23,Java,0,62,256,393,0.6513994910941476,3394
AutoDispose,uber,8,0,Java,4,308,174,177,0.9830508474576272,3371
liteflow,dromara,5,0,Java,0,1,24,67,0.3582089552238806,3362
jvm-tools,aragozin,13,16,Java,0,26,32,41,0.7804878048780488,3333
javacore,dunwu,7,2,Java,0,17,15,17,0.8823529411764706,3301
99-problems,shekhargulati,9,14,Java,0,11,1,6,0.16666666666666666,3298
ChipsLayoutManager,oleg-beloy,8,2,Java,11,3,30,65,0.46153846153846156,3286
